subject,mean_dice_before,mean_dice_after,mean_precision_before,mean_precision_after,mean_recall_before,mean_recall_after
sub-r004s026_ses-1_space-MNI152NLin2009aSym,0.8436418981894737,0.8963248667368421,0.8846709499473684,0.913180828826316,0.8662444846578948,0.9004059697631579
sub-r009s003_ses-1_space-MNI152NLin2009aSym,0.7767017331652633,0.7600944788699999,0.829923356115263,0.8068954271410527,0.841183680366842,0.8228510146442105
sub-r031s008_ses-1_space-MNI152NLin2009aSym,0.8123328236391052,0.8102986092836841,0.8052258159006841,0.8048801041157895,0.932915309673684,0.935053393236842
sub-r031s024_ses-1_space-MNI152NLin2009aSym,0.7386047380042107,0.7413735548373683,0.9380331247894736,0.968885882263158,0.7371803032610527,0.7289209787689473
sub-r023s014_ses-1_space-MNI152NLin2009aSym,0.8600967461289474,0.9121913977631578,0.8527260524710526,0.9236811439210524,0.971518121,0.9578261791578948
sub-r009s083_ses-1_space-MNI152NLin2009aSym,0.844708587728421,0.8849114692421052,0.9096819296315788,0.9144554195789474,0.874405462696842,0.9027974700842106
sub-r031s010_ses-1_space-MNI152NLin2009aSym,0.7802630553894736,0.8402649636631581,0.7712344755615789,0.8398450698210526,0.9322290415473684,0.9223403923210526
sub-r011s018_ses-1_space-MNI152NLin2009aSym,0.8347985346210527,0.9153166379210528,0.8591409030368422,0.9360733543684212,0.929007279868421,0.9379333524473682
sub-r031s001_ses-1_space-MNI152NLin2009aSym,0.7536932719747369,0.8240783952578947,0.7218276585021053,0.7781518476052631,0.9178230229431578,0.9451171378947368
sub-r010s028_ses-1_space-MNI152NLin2009aSym,0.8437383695236843,0.9077533799210526,0.9101555383789472,0.971417942526316,0.8856563877710526,0.8899944735684211
sub-r004s034_ses-1_space-MNI152NLin2009aSym,0.8863777747894738,0.9196968769052632,0.8955098211842105,0.9270577828947368,0.9481216656052632,0.9403427773631576
sub-r028s009_ses-1_space-MNI152NLin2009aSym,0.7634453996399999,0.7789037355315788,0.7911940621710526,0.7917574555578948,0.9021821022710526,0.930663773105263
sub-r009s118_ses-1_space-MNI152NLin2009aSym,0.8898122124210527,0.9351708655421052,0.916997778905263,0.9709241105263158,0.9503903179105264,0.9417690357526316
sub-r031s018_ses-1_space-MNI152NLin2009aSym,0.8425120066452632,0.9056696949315788,0.8483814669784211,0.9189117989473684,0.9403140193510526,0.9353943334842104
sub-r009s044_ses-1_space-MNI152NLin2009aSym,0.6463677956707895,0.6724943753178948,0.7875377575502105,0.871130261968421,0.6523569673036842,0.6391399398236842
sub-r040s076_ses-1_space-MNI152NLin2009aSym,0.8712082529710525,0.8894966605,0.8938070345947369,0.870371090263158,0.9082299086152632,0.951630965236842
